manager_id,category_id,priority_id,task_name,task_description,task_start_date,task_end_date,task_status
3,1,13,Sara-Ann,XlMMpBubCDiR,1963-01-26,2024-09-01,in progress
3,3,20,Carlie,NbdPISWjaSJzYihOStGlGyNyNHDNkslBfx rvXKDWGMXYd,1902-09-22,2022-12-16,compleated
3,2,13,Isa,ubXSCamTXocMlwEsyqbjkesSbtwnjKflRAXkoNZY,1938-10-13,2021-05-29,compleated
3,2,22,Raina,RUjUOPSmpYuSuuxghvzPBqxw,1980-08-13,2020-11-23,todo
3,3,21,Lesly,HlBRrsSGVZRBXnzHZErGqRzTlCZfzbhKEhXI,1981-04-14,2020-05-29,in progress
3,2,22,Roslyn,dacIFKLd,2008-07-10,2023-03-24,compleated
3,1,21,Etta,NJZSWyTjRRifGDhxgFoASdZfpvTKe,1948-02-08,2021-09-15,compleated
3,2,15,Ketti,mWByuuEgjnVPmJpCotKO IqOPTGyhNVI,1943-03-18,2023-01-20,compleated
3,2,22,Frances,VCWewvgYmDFaEYNaZiFmiutjsrWYgSNFLssJcKEJOptdgTsDc,1949-03-10,2023-08-22,compleated
3,2,13,Jobi,OLa UJVusXuwtOHxH,1922-07-04,2023-06-28,in progress
3,2,24,Arlena,gynFSfUMGh,1991-06-19,2024-06-16,todo
3,2,18,Zaria,UJnvctm,1933-09-03,2024-12-03,in progress
3,2,22,Moyna,litGiDIArylAYwaqWzBJQKIdNHM,2009-07-17,2023-09-26,todo
3,2,15,Dyann,UKtFTCzcQGkAvAonrtQgVnDsp,2007-03-13,2024-06-12,compleated
3,1,18,Katharina,kOSaZzjPHhOMecnHCgOYTaDmBoVcFlWmOnjJOvCxejTo,1999-12-26,2022-08-05,todo
3,3,13,Sara-Ann,BViXpmLlk,1906-03-31,2024-10-19,todo
3,2,13,Hyacinthe,FEjuRzAahvlgRsODqVP IWYvr h HbCNNOZT,1938-02-28,2020-10-05,in progress
3,2,19,Joeann,OBybheATcdY,1970-09-03,2024-11-27,in progress
3,3,14,Tarra,sCkSMJxvfduMhhpWMaoFvggbq,1937-09-21,2022-01-14,compleated
3,3,16,Flo,gB hYDDNEZhcYkfDQkqblfspgmjnF,2005-12-06,2023-07-29,todo
3,3,19,Corina,jlbCZOFo,1969-09-29,2020-11-24,compleated